KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-assyrian-culture-num1;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;Syro-Kurdish;x
dynamic-bashkir-culture-num1;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;Bashkiro-Mongol;x
dynamic-basque-cosmopolitan_french-culture-num1;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;Basco-French;x
dynamic-bavarian-italian-culture-num1;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;Autro-Bavarian;x
dynamic-bedouin_arabic-culture-num1;Kufan;Kufan;Kufan;Kufan;Kufan;Kufan;Kufan;Kufan;Kufan;Kufan;Kufan;Kufan;Kufan;x
dynamic-berber-culture-num1;Masini;Masini;Masini;Masini;Masini;Masini;Masini;Masini;Masini;Masini;Masini;Masini;Masini;x
dynamic-bolghar-culture-num1;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;Uraltauan;x
dynamic-bozo-culture-num1;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;x
dynamic-buryat-culture-num1;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;x
dynamic-chihan-culture-num1;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;x
dynamic-cosmopolitan_french-norwegian-culture-num1;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;Franco-Norwegian;x
dynamic-cuman-culture-num1;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;Neo-Kazakh;x
dynamic-cuman-culture-num2;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;x
dynamic-czech-saxon-culture-num1;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;Czecho-Saxon;x
dynamic-daju-zaghawa-culture-num1;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;x
dynamic-dutch-cosmopolitan_french-culture-num1;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;x
dynamic-dutch-franconian-cosmopolitan_french-culture-num1;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;Francono-Ratton;x
dynamic-dutch-franconian-cosmopolitan_french-culture-num2;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;Ratton;x
dynamic-dyola-culture-num1;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;Mel-Kru;x
dynamic-franconian-russian_culture-culture-num1;Russisch;Russisch;Russisch;Russisch;Russisch;Russisch;Russisch;Russisch;Russisch;Russisch;Russisch;Russisch;Russisch;x
dynamic-gondi-avadhi-culture-num1;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;Kannauji-Gond;x
dynamic-greek-al_suryah_arabic-culture-num1;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;Diyarmudaran-Greek;x
dynamic-greek-culture-num1;Haman;Haman;Haman;Haman;Haman;Haman;Haman;Haman;Haman;Haman;Haman;Haman;Haman;x
dynamic-hungarian-culture-num1;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;x
dynamic-italian-culture-num1;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;Neo-Angrian;x
dynamic-kannada-marathi-culture-num1;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;x
dynamic-kanuri-zaghawa-culture-num1;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;x
dynamic-mazandarani-turkish-culture-num1;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;x
dynamic-mongol-culture-num1;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;Qumarlêb-Mongol;x
dynamic-mongol-culture-num2;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;Tibeto-Mongol;x
dynamic-mongol-yakut-culture-num1;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;Mongolo-Uriankhai;x
dynamic-nubian-culture-num1;Sai;Sai;Sai;Sai;Sai;Sai;Sai;Sai;Sai;Sai;Sai;Sai;Sai;x
dynamic-ostyaki-mongol-culture-num1;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;Ostyako-Mongol;x
dynamic-persian-culture-num1;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;Nihawandi;x
dynamic-persian-turkish-culture-num1;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;x
dynamic-polish-culture-num1;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;Czerskian;x
dynamic-portugese-culture-num1;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;Maghrebo-Portuguese;x
dynamic-russian_culture-saxon-culture-num1;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;Russo-Saxon;x
dynamic-samoyed-karelian-culture-num1;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;x
dynamic-sardinian-culture-num1;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;Sardino-Portuguese;x
dynamic-saxon-culture-num1;Angrian;Angrian;Angrian;Angrian;Angrian;Angrian;Angrian;Angrian;Angrian;Angrian;Angrian;Angrian;Angrian;x
dynamic-saxon-culture-num2;Jute;Jute;Jute;Jute;Jute;Jute;Jute;Jute;Jute;Jute;Jute;Jute;Jute;x
dynamic-scottish-culture-num1;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;Annandalerian;x
dynamic-slovene-italian-culture-num1;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;Alpine-Carantanian;x
dynamic-somali-culture-num1;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;Dawaran;x
dynamic-somali-sidamo-culture-num1;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;x
dynamic-swabian-culture-num1;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;Strassburger;x
dynamic-swedish-culture-num1;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;Medelpadian;x
dynamic-tajik-culture-num1;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;x
dynamic-tajik-culture-num2;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;Tarazi;x
dynamic-tajik-turkish-culture-num1;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;x
dynamic-telegu-culture-num1;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;Telugu-Oriya;x
dynamic-tibetan-culture-num1;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;x
dynamic-tibetan-culture-num2;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;Qumarlêb;x
dynamic-tibetan-culture-num3;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;x
dynamic-uzbehk-culture-num1;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;Sindhi-Karluk;x
dynamic-uzbehk-culture-num2;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;Ostyako-Karluk;x
dynamic-yorumba-nupe-culture-num1;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;Nupe-Edo;x
